year,avg_diva,num_performances
1979,1733.958511604834,1
1980,2743.7000311733536,1
1981,4802.578620756424,1
1982,3006.302254783578,1
1983,4802.70569485476,1
1984,1100.0804749677657,1
1986,2442.2128400428937,1
1989,3339.0520484800218,1
1991,4117.87951984241,2
1992,3555.344088846574,3
1993,6084.92446029092,1
1995,2734.717411158477,3
1996,2853.499992265868,1
1997,2615.4462084260213,2
1998,2968.183742115784,1
1999,3739.7090594692454,3
2000,2821.9557575594395,3
2001,2963.8661565318575,3
2002,3573.47833627828,2
2003,3509.092479564012,1
2004,4365.832819495501,5
2005,2797.770945147298,1
2006,2077.2812883881147,2
2007,2150.6934091436983,3
2008,4895.257250799188,4
2009,4817.427082023041,2
2010,3826.9145233708123,4
2011,3426.6767792820015,6
2012,2950.0459993929067,6
2013,4461.245189954732,5
2014,4252.83447826846,6
2015,4531.920701740266,4
2016,3360.734732247744,8
2017,3079.903863666576,9
2018,3340.54904911809,6
2019,4640.718277219195,6
2020,4400.127996277705,6
2021,3303.853907162507,3
2022,5291.367441105208,7
2023,4151.647669191726,10
standard,0.0,1
