performer,avg_diva,num_performances
chaka-khan,9792.054288706611,1
patti-labelle,8554.763665857057,1
anthony-hamilton,7799.517547658466,1
renee-fleming,7464.1845065084,1
jazmine-sullivan,6469.572182390904,1
nicole-scherzinger,6447.590314192869,1
beyonce,6220.7332039900175,2
aretha-franklin,6084.92446029092,1
madison-watkins,5737.032231287271,1
fergie,5729.8248347171575,1
chloe-bailey,5607.167421090792,1
christina-aguilera,5413.50148720944,2
jennifer-hudson,5370.740686134351,1
alicia-keys,5258.727894969012,1
tpain,5224.342295574671,1
eric-burton,5007.944289198136,1
cher,4926.089978583095,1
marvin-gaye,4802.70569485476,1
juanita-booker,4802.578620756424,1
jordan-smith,4786.809974664878,1
mariah-carey,4739.517766337559,1
idina-menzel,4669.94029650572,2
lady-gaga,4650.867054196278,2
pia-toscano,4644.412389854997,1
jordin-sparks,4604.611852642403,4
gladys-knight,4545.028893589426,2
jon-batiste,4450.264008490703,1
madison-beer,4439.001409655604,1
natalie-grant,4399.789420214085,1
john-legend,4385.611684519841,2
mickey-guyton,4331.772224181139,2
whitney-houston,4309.937387841034,2
mary-j-blige,4244.487821245312,3
chris-stapleton,4214.411322874773,1
cassadee-pope,4113.335582853822,1
usher,4094.548455086424,1
lauren-daigle,4057.222091270095,1
peabo-bryson,4040.2187713002113,1
fantasia,4007.963852056677,1
her,4004.107818135505,1
demi-lovato,3961.2610146582265,3
jewel,3821.281680791553,3
nayah-damasen,3787.88154273667,1
lauren-alaina,3770.475346476305,1
steven-tyler,3688.798597289491,1
kelly-clarkson,3671.357689282678,3
joyce-didonato,3639.344887771613,1
pink,3638.164877287725,1
bebe-rexha,3555.749373393252,1
faith-hill,3530.8318081453963,1
john-oates,3513.486315126469,1
aaliyah,3510.7235374187444,1
stephanie-mills,3509.092479564012,1
ariana-grande,3493.434151628315,1
luke-bryan,3446.447203447474,2
jon-secada,3443.669895149588,1
anita-baker,3384.1157483424377,1
dierks-bentley,3378.721998063812,1
trace-adkins,3314.1866029667926,1
colbie-caillat,3229.1082139586115,1
jessica-simpson,3221.4538076521667,2
harry-connick-jr,3182.143600089922,1
amber-riley,3105.7005234574053,2
brooke-hogan,3103.0950334926547,1
kiana-lede,3050.7830729975744,1
scotty-mccreery,3031.672758191124,1
kritsen-chenoweth,3023.940234345685,1
marc-anthony,3022.693965220461,1
martina-mcbride,3014.3760920739383,1
diana-ross,3006.302254783578,1
aaron-lewis,2949.805869734231,1
neyo,2945.287088417866,2
kelsey-grammer,2853.499992265868,1
carrie-underwood,2839.925078783981,4
brian-mcknight,2797.770945147298,1
cody-johnson,2764.9502731450634,1
hunter-hayes,2745.066594219482,1
cheryl-ladd,2743.7000311733536,1
john-vincent,2742.269425268056,1
carly-pearce,2702.3590563436383,1
sheryl-crow,2681.35855357077,1
brad-paisley,2668.813868296306,1
darius-rucker,2652.343596287186,1
gretchen-wilson,2646.064422735981,1
leann-rimes,2621.586437949414,1
luther-vandross,2609.305978902628,1
patrick-stump,2508.083126215157,1
chris-daughtry,2505.136587375649,1
paul-simon,2442.2128400428937,1
melissa-etheridge,2407.4389062190016,1
jackie-evancho,2394.75084093954,1
rachel-platten,2373.2989569170254,1
billy-joel,2361.7638237484816,4
josh-groban,2353.437037575479,1
donna-summer,2243.8524709525886,1
trisha-yearwood,2218.737406764057,1
al-green,2146.8633616433303,1
zooey-deschanel,2138.7723908392804,1
taylor-swift,2095.0055518021422,2
joe-walsh,2041.0850997694995,1
keith-urban,1988.930254290508,1
matthew-morrison,1912.1452218002305,1
james-taylor,1898.5703298101885,1
alanis-morissette,1867.2552510728824,1
phillip-phillips,1809.333982109904,1
aloe-blacc,1800.3309842692609,1
jimmy-buffett,1100.0804749677657,1
n/a,0.0,1
