id,key,octave,steps_from_C,eventType,artistGenre
aaliyah_nba-regular-season-game_1995,E,,4,basketball,rnb
aaron-lewis_world-series_2014,A,TRUE,-3,baseball,rock
al-green_nba-allstar-game_2000,C#,,1,basketball,rnb
alanis-morissette_stanley-cup-playoffs_2007,Eb,,3,hockey,rock
alicia-keys_super-bowl_2013,G,,7,football,rnb
aloe-blacc_nba-finals_2016,C,,0,basketball,rnb
amber-riley_dnc_2012,F,,5,political,pop
amber-riley_mlb-allstar-game_2010,F#,,6,baseball,pop
anita-baker_nfl-regular-season_2023,Ab,,8,football,rnb
anthony-hamilton_nba-allstar-game_2019,F,TRUE,-7,basketball,rnb
aretha-franklin_world-series_1993,F#,,6,baseball,rnb
ariana-grande_nfl-regular-season_2014,Ab,,8,football,pop
bebe-rexha_indy-500_2017,F,,5,racing,pop
beyonce_inauguration_2013,E,,4,political,rnb
beyonce_super-bowl_2004,G,,7,football,rnb
billy-joel_stanley-cup-playoffs_1979,C,,0,hockey,rock
billy-joel_super-bowl_1989,C,,0,football,rock
billy-joel_super-bowl_2007,Bb,TRUE,-2,football,rock
billy-joel_world-series_2000,A,TRUE,-3,baseball,rock
brad-paisley_world-series_2017,B,TRUE,-1,baseball,country
brian-mcknight_mlb-allstar-game_2005,Eb,,3,baseball,rnb
brooke-hogan_stanley-cup-playoffs_2004,E,,4,hockey,pop
carly-pearce_world-series_2021,Eb,,3,baseball,country
carrie-underwood_mlb-allstar-game_2006,F#,,6,baseball,country
carrie-underwood_stanley-cup-playoffs_2017,F#,,6,hockey,country
carrie-underwood_super-bowl_2010,F#,,6,football,country
carrie-underwood_world-series_2007,F#,,6,baseball,country
cassadee-pope_stanley-cup-playoffs_2023,F#,,6,hockey,country
chaka-khan_nba-allstar-game_2020,F,,5,basketball,rnb
cher_super-bowl_1999,Eb,,3,football,pop
cheryl-ladd_super-bowl_1980,E,,4,football,pop
chloe-bailey_world-series_2022,E,,4,baseball,rnb
chris-daughtry_world-series_2011,D,,2,baseball,rock
chris-stapleton_super-bowl_2023,C#,,1,football,country
christina-aguilera_nba-allstar-game_2004,F,,5,basketball,pop
christina-aguilera_super-bowl_2011,F,,5,football,pop
cody-johnson_world-series_2019,A,TRUE,-3,baseball,country
colbie-caillat_world-series_2013,E,,4,baseball,pop
darius-rucker_world-series_1995,Bb,TRUE,-2,baseball,rock
demi-lovato_super-bowl_2020,Ab,,8,football,pop
demi-lovato_world-series_2012,Ab,,8,baseball,pop
demi-lovato_world-series_2015,Ab,,8,baseball,pop
diana-ross_super-bowl_1982,G,,7,football,rnb
dierks-bentley_stanley-cup-playoffs_2017,F,TRUE,-7,hockey,country
donna-summer_mlb-allstar-game_1999,Eb,,3,baseball,rnb
eric-burton_world-series_2022,B,TRUE,-1,baseball,rnb
faith-hill_super-bowl_2000,G,,7,football,country
fantasia_ncaa-football-championship_2023,F#,,6,football,rnb
fergie_nba-allstar-game_2018,G,,7,basketball,pop
gladys-knight_super-bowl_2019,D,,2,football,rnb
gladys-knight_world-series_1991,Eb,,3,baseball,rnb
gretchen-wilson_nba-allstar-game_2010,E,,4,basketball,country
harry-connick-jr_super-bowl_1992,Ab,TRUE,-4,football,jazz
her_world-series_2023,E,,4,baseball,rnb
hunter-hayes_world-series_2016,Bb,TRUE,-2,baseball,country
idina-menzel_mlb-allstar-game_2014,F#,,6,baseball,broadway
idina-menzel_super-bowl_2015,F,,5,football,broadway
jackie-evancho_inauguration_2017,Ab,,8,political,classical
james-taylor_world-series_2018,Ab,TRUE,-4,baseball,folk
jazmine-sullivan_world-series_2022,F,,5,baseball,rnb
jennifer-hudson_super-bowl_2009,A,,9,football,rnb
jessica-simpson_indy-500_2004,F,,5,racing,pop
jessica-simpson_nba-allstar-game_2001,F#,,6,basketball,pop
jewel_nba-allstar-game_2023,Eb,,3,basketball,pop
jewel_super-bowl_1998,F,,5,football,pop
