phrase_i,avg_diva
0,96.18531597461971
1,129.8466978931616
2,269.29878794213477
3,131.27862916419312
4,111.30410610018892
5,148.7546113925754
6,211.34431217438527
7,134.46446830993742
8,222.96967327252037
9,243.85933671623386
10,237.60371499235364
11,396.1349805617408
12,358.21566484488517
13,344.22909437533457
14,399.9742946602476
15,596.866553383314
