eventType,avg_diva,num_performances
basketball,4147.5617045201525,23
football,4143.41558149363,33
political,3781.181113466522,8
baseball,3534.9964098287296,57
racing,3166.7159490251206,5
hockey,2907.1585768107175,10
n/a,0.0,1
