id,key,octave,steps_from_C,eventType,artistGenre,phrase0_start,phrase0_end,phrase1_start,phrase1_end,phrase2_start,phrase2_end,phrase3_start,phrase3_end,phrase4_start,phrase4_end,phrase5_start,phrase5_end,phrase6_start,phrase6_end,phrase7_start,phrase7_end,phrase8_start,phrase8_end,phrase9_start,phrase9_end,phrase10_start,phrase10_end,phrase11_start,phrase11_end,phrase12_start,phrase12_end,phrase13_start,phrase13_end,phrase14_start,phrase14_end,phrase15_start,phrase15_end,phrase0_diva,phrase1_diva,phrase2_diva,phrase3_diva,phrase4_diva,phrase5_diva,phrase6_diva,phrase7_diva,phrase8_diva,phrase9_diva,phrase10_diva,phrase11_diva,phrase12_diva,phrase13_diva,phrase14_diva,phrase15_diva
aaliyah_nba-regular-season-game_1995,E,,4,basketball,rnb,0.6,8,8.7,14.7,15.4,21.7,22.1,27.6,28.2,34.7,35.2,40.5,41.3,47,47.6,53.4,54.4,61,61.2,66.3,66.5,72.5,73,78.7,78.9,86.6,87,94.6,95.3,103.2,103.4,113.4,91.3,104.3,454.4,117.9,90,84.5,282.6,190.3,203.7,173.1,196.5,254.8,619,321.8,99.4,305.7
aaron-lewis_world-series_2014,A,TRUE,-3,baseball,rock,0,5.3,6.3,12,12.9,18.8,19.3,24.9,25.6,32.2,33.2,39.2,40.1,45.9,47,53.1,54.6,60.8,63.1,69.9,71,76.5,77.7,84.7,86.1,94.5,95.3,102.9,105.5,114.2,115.5,123.8,214.2,43,453.8,149.7,474.6,143.3,180.9,120.9,921.6,86,170.8,214.7,332.9,186.4,139.7,402.5
al-green_nba-allstar-game_2000,C#,,1,basketball,rnb,0.3,4.9,5.4,9.9,10.3,14.9,15.3,20,20.5,25,25.6,30.1,30.7,35.5,36,40.6,41.2,46.3,46.7,52,52.6,57.7,58.1,62.9,63.7,70.1,70.5,76.9,77.7,85.6,86.4,98.6,54,64.3,179.2,89.7,50.2,51.8,99.6,30.6,146.5,289.3,239.9,78.4,173,234.2,134.3,242.7
alanis-morissette_stanley-cup-playoffs_2007,Eb,,3,hockey,rock,0.5,4.4,5,9.6,9.9,13.8,14.3,18.3,18.8,22.2,22.8,26.9,27.3,31.1,31.7,35.8,36.5,40.7,41.3,45.6,46,49.8,50.3,55,55.3,60.5,60.9,66,66.6,72.5,72.9,81.8,57,57,173,115.5,36.6,64.4,82.2,44.2,188.9,243.2,144,132.2,216.9,82.7,130.9,144.4
alicia-keys_super-bowl_2013,G,,7,football,rnb,0.3,9.5,11.6,17.8,19.3,25.7,26.6,33.6,34.4,41.4,43,49.7,51.8,57.6,59.8,67.1,69.1,74.5,74.6,80,80.2,85.1,85.7,90.8,91,97.2,97.4,105.8,109,118,122.3,155,185.5,96.1,202.4,113.6,128.8,122.9,278.6,88,181.8,218.5,210.3,123.9,165.1,396.8,178.7,2365.9
aloe-blacc_nba-finals_2016,C,,0,basketball,rnb,0.4,5.1,6.1,11.2,12.1,17,17.6,22.1,22.8,27.4,28,32.2,33.1,38,38.6,42.9,43.9,49.2,50.4,55.7,57.2,61.6,62.7,67.5,68.3,74.3,74.6,81.2,82.6,91.1,92,102.8,79.9,81.5,178.9,112,219,59,223.6,53.2,294.7,285.7,168.8,129.8,223,277.1,163.7,66.1
amber-riley_dnc_2012,F,,5,political,pop,0.2,5,5.6,9.9,10.6,14.7,15.3,19.1,19.9,23.9,24.3,28.3,29,33.2,33.5,37.5,38.4,42.3,42.7,47.1,47.5,51.7,52.2,56.6,57.2,62.2,62.8,70,71.5,79.1,80.1,91.3,78.5,222.8,179.5,95.9,91.9,208.5,281.1,117.9,111.2,219,241.4,557.6,232.2,376.5,231.6,243.2
amber-riley_mlb-allstar-game_2010,F#,,6,baseball,pop,0.4,5.3,5.8,10,10.6,15,15.7,19.6,20.2,24.5,24.7,28.9,29.5,33.7,34.1,38.4,39.1,43,43.6,48.2,48.6,52.8,53.2,57.7,58.3,63.7,64.2,71.8,72.4,79.4,79.8,94.7,66.8,63.6,128.8,72.4,63.5,101,296.7,171.8,56,218.6,234.9,587.3,211.4,467,168.1,971.1
anita-baker_nfl-regular-season_2023,Ab,,8,football,rnb,0.5,5.4,5.8,10.1,10.5,14.6,15.1,19.2,19.7,23.5,24,28.7,29.4,33.6,34.3,38.6,39.3,43.9,44.3,49.1,49.5,54.3,55.6,60.8,61.3,66.4,67.1,72.5,73.4,78.4,78.9,85.5,88.2,118.9,165.4,143.5,101.3,237.8,139.3,134.5,164.2,368.9,221.2,1092,225.4,182,221.3,307.1
anthony-hamilton_nba-allstar-game_2019,F,TRUE,-7,basketball,rnb,8.7,14,14.6,19.9,20.7,26.2,26.7,31.4,32.4,37.1,38.3,43.3,44.1,49.1,49.8,54.5,55.7,60.7,61.2,66.4,66.9,72.1,73.1,77.9,77.9,82.1,82.5,93,97.4,105.4,106,122.8,411.7,533.4,457.5,658.9,357.1,528.6,280.6,593.4,370.2,380.2,423.2,210.3,1072.1,450.8,232.4,958.8
aretha-franklin_world-series_1993,F#,,6,baseball,rnb,0.4,6.7,8.1,14,15.8,21.9,23.7,28.8,29.6,37.1,38.2,43.7,44.5,51.2,52.7,58,58.8,65.4,66.1,72.1,73.3,79.6,80.6,94.8,96.5,104.1,105.3,114.6,114.9,127,127.6,136.8,122.8,130.8,291.4,135.2,761,275.9,469.7,183.9,230.1,566.8,301.3,632.5,977.4,637.6,449.3,368.9
ariana-grande_nfl-regular-season_2014,Ab,,8,football,pop,0.6,5.8,6.6,11.9,12.6,17.5,18.1,23.4,23.9,29,29.6,34.5,35.2,39.7,40.5,46,47,52.2,52.6,58,58.6,63.5,64.3,68.8,69.6,75.6,76.2,82.1,84.4,91.6,92.3,100.6,65.4,178.1,373.8,105.9,106.5,81.3,247.7,92.9,213.6,234.5,457.3,89.3,332.3,361.7,130.3,140.9
bebe-rexha_indy-500_2017,F,,5,racing,pop,0.3,4.8,5.7,10.6,11.3,15.4,15.9,20.4,21,25.2,25.8,30.1,30.8,34.8,35.2,39.6,40.3,44.5,44.9,48.8,49.5,53.3,53.7,58.1,58.9,63.7,64.2,70.2,71.6,79.3,80.8,87.5,83.6,131.6,164.3,118.7,76.2,76.8,106.4,63.4,148.8,108.6,206.3,65,63.9,190.4,1049.2,122.9
beyonce_inauguration_2013,E,,4,political,rnb,0.6,6.4,7.1,12.6,13.4,19.1,20,26,26.8,33.3,33.6,39.9,40.6,46.6,47.3,53.8,54.3,59.9,60.5,65.7,66.3,72.2,72.7,81.8,82.2,88,88.6,95.3,96.1,102.9,103.7,121,71.9,109.2,141.2,153.4,150,172.7,109.5,164,102.5,190.9,512.6,2018,537.7,361,649.4,1342.2
beyonce_super-bowl_2004,G,,7,football,rnb,0.7,6.4,7.1,13,13.5,19.5,20.2,25.8,26.7,32.6,33.3,39.5,40,46,46.9,52.7,53.3,58.7,59.3,65.9,66.4,72.6,73.1,82.8,83.3,90,90.7,98.3,99.4,106.7,107.9,128.6,73.3,109.6,349.6,138.1,75.2,115.4,117.5,132.8,163.6,326.2,224,576.7,522.5,255.5,434.2,2934.3
billy-joel_stanley-cup-playoffs_1979,C,,0,hockey,rock,0.3,4.2,4.8,8.9,9.6,14,14.3,18.6,18.9,22.7,23.4,27.4,28.1,32,32.7,36.8,37.4,41.5,42,46.1,46.9,50.9,51.5,55.2,55.9,61.3,61.9,67.3,68.5,74.8,75.5,83.6,47.2,99,160.9,67.5,52.8,81.7,80.3,41.6,89.2,98.4,101.1,61.7,188.3,67.4,106.4,146.2
billy-joel_super-bowl_1989,C,,0,football,rock,0.6,4.7,5.1,9,9.9,14.1,14.7,18.7,19.1,23.3,23.8,27.8,28.7,32.8,33.3,37.8,38.4,42.6,43.2,47.7,48.4,52.9,53.3,57.9,58.7,63.9,64.5,70.1,70.8,76.3,77.7,84.2,115.6,139.1,177.7,104.3,84.7,209.6,166.7,204.9,277.9,390,221.3,193.7,233.5,161.6,266.3,295.6
billy-joel_super-bowl_2007,Bb,TRUE,-2,football,rock,0.2,4.8,5.3,9.7,10.3,14.9,15.5,20,20.4,24.9,25.5,30,31,35.3,36.4,41.7,42.3,47.3,47.8,52.2,53.1,58.1,58.5,63.1,63.8,69.7,69.9,75.2,75.6,80.2,81.2,90.2,54.8,184,326.4,156.8,42.1,213.6,163.4,58.9,97.3,121.2,155.1,33.1,136,77.7,133.4,127.3
billy-joel_world-series_2000,A,TRUE,-3,baseball,rock,0.2,5.1,5.5,9.9,10.2,14.6,15.2,19.7,20.5,24.9,25.6,30.4,30.7,34.7,35.7,41,41.8,46.5,47,51.5,52.3,56.6,57.4,62.5,63.3,68.9,69.3,75.4,76.3,86.4,87.6,97.7,70.4,83,160.9,112.5,88.9,83.7,110.8,79.6,142.2,176.7,146.5,88.9,286.5,124.7,259.3,216
brad-paisley_world-series_2017,B,TRUE,-1,baseball,country,0.4,5.3,6.1,9.9,11,15.3,16.4,20.9,21.7,26.1,26.6,30.5,31.5,35.5,36.4,41,42.2,47,47.4,52.3,52.7,57.2,57.8,61.8,63.2,70.2,70.6,77.7,79.1,86.3,87.1,96.9,99.1,122,233.9,115.1,103.9,91.5,156.6,180.3,119.3,181,223,96.8,288.3,179.9,165.8,232.7
brian-mcknight_mlb-allstar-game_2005,Eb,,3,baseball,rnb,0.3,4.4,5.2,8.8,9.4,12.6,13.2,16.9,17.8,21.3,21.9,25.1,25.9,29.5,29.9,34.1,35,38.2,38.5,42.2,42.6,46.1,46.7,51.4,52,56.4,56.9,61.5,62.3,67.6,68.4,76.9,131.2,176.5,202.5,96.3,93.2,204,144.9,100.9,119.4,180.1,158.5,196.2,121,511.1,241.1,598.8
brooke-hogan_stanley-cup-playoffs_2004,E,,4,hockey,pop,0.5,4.4,4.9,9,9.2,13.1,13.6,17.6,18,22.3,22.6,26.5,27.2,31.1,31.6,35.5,36.2,39.8,40.2,44.3,44.6,48.7,49.1,52.9,53.5,58.3,58.8,65.2,68.3,76.9,77.7,86.5,52.3,137.6,313.3,168.6,103.8,129.7,169,83.8,175.5,113.9,180.5,94,190.9,284.5,315.2,586.5
carly-pearce_world-series_2021,Eb,,3,baseball,country,0.6,6.4,6.9,12,12.7,18.2,18.8,23.9,24.4,29.9,30.6,36.2,36.7,42.2,42.9,48.3,49.1,54.3,54.7,60.3,60.9,66.2,66.9,72.7,73.6,80.6,81.1,89.8,90.4,98.1,99.3,111.6,120.5,103.4,248.5,34.2,113.9,119.3,136.8,98.1,222.1,232.3,168.6,91.1,407.8,137.4,214.5,157
carrie-underwood_mlb-allstar-game_2006,F#,,6,baseball,country,0.1,4.8,5.5,10.6,11.2,16.4,17.1,22,22.6,27.7,28.4,33.9,34.4,39.7,40.3,45.4,46.3,50.9,51.5,56.6,57.3,62.5,63,68.4,69.1,75.4,76.1,82.3,82.9,88.5,88.8,98.1,95.8,86.8,208.1,76.2,59.4,81.7,91.7,85.8,113.6,181.5,115.7,59.9,240.6,74.6,393.4,121.6
carrie-underwood_stanley-cup-playoffs_2017,F#,,6,hockey,country,1.2,6,6.7,12,12.7,18,18.8,23.9,24.5,29.8,30.3,35.8,36.4,41.8,42.4,47.5,48.3,53.6,54,59.7,60.2,65.7,66.4,71.6,72.2,78.5,79.1,87.1,89.1,97,97.8,109.3,61.3,71.2,160.4,56.6,74.6,80.1,126.3,51.1,151.1,157,158.2,62.7,257.4,198.6,858.9,149.2
carrie-underwood_super-bowl_2010,F#,,6,football,country,0.5,5.4,5.8,10.5,11.4,16.6,17.1,21.9,22.6,27.7,28.2,33.2,33.8,38.7,39.3,44.2,44.8,50,50.4,55.3,55.9,60.9,61.4,66,66.9,72.9,73.4,81,81.7,92.3,93.2,107,85.9,111.5,213,98.9,74.3,68.5,106.7,75.5,115.6,85.6,174.8,74.7,357.7,294.3,148.2,631.9
carrie-underwood_world-series_2007,F#,,6,baseball,country,0.3,5.2,5.8,10.6,11.3,16.1,16.5,21.1,21.8,26.4,27.2,32.1,32.6,37.5,38.1,42.9,43.5,48.2,48.6,53.8,54.3,58.9,59.4,64.1,65,70.8,71.4,77.2,78.2,84.7,85.3,92.8,68.7,80.6,215.4,85.2,75.7,84,148.9,89,99.1,267.2,145.4,47.7,235.5,79.4,571.8,117.3
cassadee-pope_stanley-cup-playoffs_2023,F#,,6,hockey,country,0.1,5.4,5.7,10.8,11.4,16.6,17.2,22.2,23,28.4,29,34.6,35.2,40.7,41.2,46.5,47.1,53,53.4,58.5,59,64.3,64.9,70.4,70.8,76.8,77.2,83.9,85.2,92.6,93.3,100.2,80,136.6,427.8,84.4,241.5,216.5,289.5,111.9,242.6,1124.5,808.8,203.8,174.7,365.4,141.6,523.6
